title,source,csv file,git hub csv file,pdf link,pdf name,year
Development program and budget allocation in the district FY 207071,,http://data.opennepal.net/sites/all/modules/pubdlcnt/pubdlcnt.php?file=http://data.opennepal.net/sites/default/files/resources/data_13.csv&nid=4680,https://github.com/opennepal/odp-development/tree/master/Development program and budget allocation in the district FY 207071/data.csv,http://www.npc.gov.np/new/uploadedFiles/allFiles/spart27071.pdf,spart27071.pdf,
Number of crimes (2068-71 B.S),Metropolitan Police Commissionerâ€™s Office,http://data.opennepal.net/sites/all/modules/pubdlcnt/pubdlcnt.php?file=http://data.opennepal.net/sites/default/files/resources/Crime chart 1 .csv&nid=4490,https://github.com/opennepal/odp-development/tree/master/Number of crimes (2068-71 B.S)/data.csv,,,
Strikes done by Action Initiators,,http://data.opennepal.net/sites/all/modules/pubdlcnt/pubdlcnt.php?file=http://data.opennepal.net/sites/default/files/resources/Action Inititators.csv&nid=4482,https://github.com/opennepal/odp-development/tree/master/Strikes done by Action Initiators/data.csv,http://www.nrb.org.np/ecorev/pdffiles/vol26-1_art1.pdf,vol26-1_art1.pdf,2008-2013
Number of hospital bed capacity in development region2013,Central Bureau of Statistics,http://data.opennepal.net/sites/all/modules/pubdlcnt/pubdlcnt.php?file=http://data.opennepal.net/sites/default/files/resources/Bed Category.csv&nid=4400,"https://github.com/opennepal/odp-development/tree/master/Number of hospital bed capacity in development region,2013/data.csv",http://cbs.gov.np/wp-content/uploads/2014/08/A-Report-on-Census-of-Private-Hospitals-in-Nepal-20131.pdf,A-Report-on-Census-of-Private-Hospitals-in-Nepal-20131.pdf,
Number of hospitals in Nepal2013,Central Bureau of Statistics,http://data.opennepal.net/sites/all/modules/pubdlcnt/pubdlcnt.php?file=http://data.opennepal.net/sites/default/files/resources/Hospitals.csv&nid=4399,"https://github.com/opennepal/odp-development/tree/master/Number of hospitals in Nepal,2013/data.csv",http://cbs.gov.np/wp-content/uploads/2014/08/A-Report-on-Census-of-Private-Hospitals-in-Nepal-20131.pdf,A-Report-on-Census-of-Private-Hospitals-in-Nepal-20131.pdf,
Total Strategic Road Network (SRN) LengthInfluenced Population of District in Nepal 2011,Central Bureau of Statistics,http://data.opennepal.net/sites/all/modules/pubdlcnt/pubdlcnt.php?file=http://data.opennepal.net/sites/default/files/resources/road network.csv&nid=4319,"https://github.com/opennepal/odp-development/tree/master/Total Strategic Road Network (SRN) Length,Influenced Population of District in Nepal, 2011/data.csv",http://cbs.gov.np/wp-content/uploads/2014/07/Environment Statistics of Nepal 2013.pdf,Environment Statistics of Nepal 2013.pdf,
District wise Human Development Index (2011),United Nations Development Program  in Nepal,http://data.opennepal.net/sites/all/modules/pubdlcnt/pubdlcnt.php?file=http://data.opennepal.net/sites/default/files/resources/District wise HDI_2011.csv&nid=3387,https://github.com/opennepal/odp-development/tree/master/District wise Human Development Index (2011)/data.csv,http://www.npc.gov.np/new/uploadedFiles/allFiles/NHDR_Report_2014.pdf,NHDR_Report_2014.pdf,
Number of Vehicle Registration in Bagmati Zone 2000-2014,,http://data.opennepal.net/sites/all/modules/pubdlcnt/pubdlcnt.php?file=http://data.opennepal.net/sites/default/files/resources/Datasets for OpenNepal - 46.csv&nid=3012,"https://github.com/opennepal/odp-development/tree/master/Number of Vehicle Registration in Bagmati Zone, 2000-2014/data.csv",,,2000/01-2013/14
Causes of  Road Accidents (2013),"Government of Nepal, Department of Roads",http://data.opennepal.net/sites/all/modules/pubdlcnt/pubdlcnt.php?file=http://data.opennepal.net/sites/default/files/resources/causes of accidents.csv&nid=2553,https://github.com/opennepal/odp-development/tree/master/Causes of  Road Accidents (2013)/data.csv,http://www.dor.gov.np/documents/Status_Paper _2013.pdf,Status_Paper _2013.pdf,2007/08  -2011/12 
Road Traffic Accident Records (2013),"Government of Nepal, Department of Roads",http://data.opennepal.net/sites/all/modules/pubdlcnt/pubdlcnt.php?file=http://data.opennepal.net/sites/default/files/resources/traffic accidents records.csv&nid=2552,https://github.com/opennepal/odp-development/tree/master/Road Traffic Accident Records (2013)/data.csv,http://www.dor.gov.np/documents/Status_Paper _2013.pdf,Status_Paper _2013.pdf,2001-02 -2012-13 
Total Number of Registered Vehicle (2013),"Government of Nepal, Department of Roads",http://data.opennepal.net/sites/all/modules/pubdlcnt/pubdlcnt.php?file=http://data.opennepal.net/sites/default/files/resources/total registered vehicle.csv&nid=2551,https://github.com/opennepal/odp-development/tree/master/Total Number of Registered Vehicle (2013)/data.csv,http://www.dor.gov.np/documents/Status_Paper _2013.pdf,Status_Paper _2013.pdf,2000/01  -up to 2000 
MDG goals progress (2010 2013) and target (2015),Ministry of Finance,http://data.opennepal.net/sites/all/modules/pubdlcnt/pubdlcnt.php?file=http://data.opennepal.net/sites/default/files/resources/MDG Indicators.csv&nid=1628,"https://github.com/opennepal/odp-development/tree/master/MDG goals progress (2010, 2013) and target (2015)/data.csv",,,
New and supplemental projects of World Bank in Nepal,The World Bank,http://data.opennepal.net/sites/all/modules/pubdlcnt/pubdlcnt.php?file=http://data.opennepal.net/sites/default/files/resources/new_suppliment_project_0.csv&nid=125,https://github.com/opennepal/odp-development/tree/master/New and supplemental projects of World Bank in Nepal/data.csv,,,
